TIME,V(OUT),V(IN)
2.27879178e-10,-1.64570260e-01,0.00000000e+00
2.29192375e-10,-1.01954091e-01,0.00000000e+00
2.30505571e-10,-4.15084647e-02,0.00000000e+00
2.31818768e-10,1.68828599e-02,0.00000000e+00
2.33131964e-10,7.33265990e-02,0.00000000e+00
2.34445160e-10,1.27920545e-01,0.00000000e+00
2.35758357e-10,1.80753959e-01,0.00000000e+00
2.37071553e-10,2.31907690e-01,0.00000000e+00
2.38384750e-10,2.81453875e-01,0.00000000e+00
2.39697946e-10,3.29454944e-01,0.00000000e+00
2.41011142e-10,3.75961333e-01,0.00000000e+00
2.42324339e-10,4.21006549e-01,0.00000000e+00
2.43637535e-10,4.64596301e-01,0.00000000e+00
2.44950731e-10,5.06682982e-01,0.00000000e+00
2.46263928e-10,5.47100384e-01,0.00000000e+00
2.47577124e-10,5.85385713e-01,0.00000000e+00
2.48890321e-10,6.20339300e-01,0.00000000e+00
2.50203517e-10,6.49610833e-01,0.00000000e+00
2.51516713e-10,6.70992025e-01,0.00000000e+00
2.52698590e-10,6.83464779e-01,0.00000000e+00
2.53880467e-10,6.90968803e-01,0.00000000e+00
2.55062344e-10,6.95190753e-01,0.00000000e+00
2.56244220e-10,6.97475609e-01,0.00000000e+00
2.58607974e-10,6.99431907e-01,0.00000000e+00
2.60971727e-10,6.99873518e-01,0.00000000e+00
2.65699235e-10,7.00014696e-01,0.00000000e+00
2.70426742e-10,6.99997822e-01,0.00000000e+00
2.79881756e-10,7.00000929e-01,0.00000000e+00
2.98791784e-10,6.99998495e-01,0.00000000e+00
3.28791784e-10,7.00000189e-01,0.00000000e+00
3.58791784e-10,6.99998865e-01,0.00000000e+00
3.88791784e-10,6.99999898e-01,0.00000000e+00
4.00000000e-10,6.99999217e-01,0.00000000e+00
4.00062500e-10,7.04679721e-01,4.37500000e-03
4.00125000e-10,7.09194432e-01,8.75000000e-03
4.00250000e-10,7.17905270e-01,1.75000000e-02
4.00500000e-10,7.33929639e-01,3.50000000e-02
4.00750000e-10,7.48683721e-01,5.25000000e-02
4.01250000e-10,7.76697800e-01,8.75000000e-02
4.01750000e-10,8.04370466e-01,1.22500000e-01
4.02750000e-10,8.61443556e-01,1.92500000e-01
4.03750000e-10,9.21045155e-01,2.62500000e-01
4.04750000e-10,9.82500403e-01,3.32500000e-01
4.06750000e-10,1.10880281e+00,4.72500000e-01
4.07572137e-10,1.16180386e+00,5.30049612e-01
4.08394275e-10,1.21452179e+00,5.87599224e-01
4.08998813e-10,1.25037119e+00,6.29916932e-01
4.09295680e-10,1.26630068e+00,6.50697593e-01
4.09592546e-10,1.28076209e+00,6.71478254e-01
4.10000000e-10,1.29237027e+00,7.00000000e-01
4.10059373e-10,1.28853094e+00,7.00000000e-01
4.10109090e-10,1.28531401e+00,7.00000000e-01
4.10208522e-10,1.27886810e+00,7.00000000e-01
4.10407388e-10,1.26598143e+00,7.00000000e-01
4.10805119e-10,1.24028061e+00,7.00000000e-01
4.11600581e-10,1.18942239e+00,7.00000000e-01
4.13191506e-10,1.09034675e+00,7.00000000e-01
4.14782430e-10,9.94744444e-01,7.00000000e-01
4.16373354e-10,9.02441867e-01,7.00000000e-01
4.17964278e-10,8.13286627e-01,7.00000000e-01
4.19555203e-10,7.27141536e-01,7.00000000e-01
4.21146127e-10,6.43884700e-01,7.00000000e-01
4.22737051e-10,5.63410478e-01,7.00000000e-01
4.24327976e-10,4.85631720e-01,7.00000000e-01
4.25918900e-10,4.10484411e-01,7.00000000e-01
4.27509824e-10,3.37937507e-01,7.00000000e-01
4.29100748e-10,2.68016158e-01,7.00000000e-01
4.30691673e-10,2.00868708e-01,7.00000000e-01
4.32282597e-10,1.37036562e-01,7.00000000e-01
4.33873521e-10,7.89227121e-02,7.00000000e-01
4.35464446e-10,3.45130662e-02,7.00000000e-01
4.36849474e-10,1.28207689e-02,7.00000000e-01
