TIME,V(OUT),V(IN)
2.15505011e-10,3.34726110e-02,3.14649201e-01
2.15556722e-10,3.77957631e-02,3.11029473e-01
2.15660143e-10,4.78448088e-02,3.03790016e-01
2.15763563e-10,6.02129853e-02,2.96550560e-01
2.15866984e-10,7.54817209e-02,2.89311104e-01
2.15970405e-10,9.40739497e-02,2.82071647e-01
2.16073826e-10,1.16103576e-01,2.74832191e-01
2.16177247e-10,1.41401914e-01,2.67592735e-01
2.16280667e-10,1.69705060e-01,2.60353278e-01
2.16384088e-10,2.00744310e-01,2.53113822e-01
2.16487509e-10,2.34233267e-01,2.45874365e-01
2.16590930e-10,2.69835657e-01,2.38634909e-01
2.16694351e-10,3.07130137e-01,2.31395453e-01
2.16797771e-10,3.45566588e-01,2.24155996e-01
2.17004613e-10,4.22440700e-01,2.09677084e-01
2.17211455e-10,4.92825330e-01,1.95198171e-01
2.17392847e-10,5.43749311e-01,1.82500726e-01
2.17542718e-10,5.77066210e-01,1.72009773e-01
2.17677601e-10,6.00715363e-01,1.62567916e-01
2.17812485e-10,6.19152182e-01,1.53126058e-01
2.17947369e-10,6.33245106e-01,1.43684200e-01
2.18082252e-10,6.43849187e-01,1.34242343e-01
2.18217136e-10,6.51736734e-01,1.24800485e-01
2.18352020e-10,6.57560957e-01,1.15358627e-01
2.18486903e-10,6.61848306e-01,1.05916770e-01
2.18756671e-10,6.67442619e-01,8.70330542e-02
2.19296205e-10,6.72596411e-01,4.92656234e-02
2.20000000e-10,6.75049830e-01,5.55111512e-16
2.20050087e-10,6.78723240e-01,0.00000000e+00
2.20089730e-10,6.81282381e-01,0.00000000e+00
2.20129373e-10,6.83677103e-01,0.00000000e+00
2.20208659e-10,6.87605521e-01,0.00000000e+00
2.20287946e-10,6.90591213e-01,0.00000000e+00
2.20446518e-10,6.94638894e-01,0.00000000e+00
2.20763663e-10,6.98436339e-01,0.00000000e+00
2.21080808e-10,6.99544128e-01,0.00000000e+00
2.21715098e-10,7.00019991e-01,0.00000000e+00
2.22285959e-10,6.99998774e-01,0.00000000e+00
2.23427682e-10,6.99998580e-01,0.00000000e+00
2.24569404e-10,6.99998644e-01,0.00000000e+00
2.26852848e-10,6.99998618e-01,0.00000000e+00
2.31419737e-10,6.99998635e-01,0.00000000e+00
2.40553515e-10,6.99998621e-01,0.00000000e+00
2.58821071e-10,6.99998634e-01,0.00000000e+00
2.88821071e-10,6.99998622e-01,0.00000000e+00
3.18821071e-10,6.99998634e-01,0.00000000e+00
3.48821071e-10,6.99998622e-01,0.00000000e+00
3.78821071e-10,6.99998633e-01,0.00000000e+00
4.00000000e-10,6.99998623e-01,0.00000000e+00
4.00062500e-10,7.04245616e-01,4.37500000e-03
4.00125000e-10,7.07739364e-01,8.75000000e-03
4.00187500e-10,7.10894371e-01,1.31250000e-02
4.00312500e-10,7.15559575e-01,2.18750000e-02
4.00437500e-10,7.18637223e-01,3.06250000e-02
4.00562500e-10,7.20709153e-01,3.93750000e-02
4.00812500e-10,7.23235815e-01,5.68750000e-02
4.01312500e-10,7.25653772e-01,9.18750000e-02
4.01812500e-10,7.27090810e-01,1.26875000e-01
4.02812500e-10,7.29608548e-01,1.96875000e-01
4.03812500e-10,7.25334290e-01,2.66875000e-01
4.03918385e-10,7.23792565e-01,2.74286935e-01
4.04024270e-10,7.22042040e-01,2.81698870e-01
4.04236039e-10,7.17128061e-01,2.96522740e-01
4.04447809e-10,7.10102060e-01,3.11346611e-01
4.04659578e-10,7.00580388e-01,3.26170481e-01
4.04871348e-10,6.87999063e-01,3.40994351e-01
4.05083117e-10,6.71408333e-01,3.55818221e-01
4.05294887e-10,6.48982192e-01,3.70642091e-01
4.05506657e-10,6.17086723e-01,3.85465961e-01
4.05691787e-10,5.77435518e-01,3.98425098e-01
4.05845800e-10,5.34945297e-01,4.09206028e-01
4.05984412e-10,4.89914022e-01,4.18908865e-01
4.06123024e-10,4.39136107e-01,4.28611703e-01
4.06261636e-10,3.83302548e-01,4.38314540e-01
4.06400248e-10,3.23421060e-01,4.48017377e-01
4.06538860e-10,2.61420820e-01,4.57720214e-01
4.06659649e-10,2.08639851e-01,4.66175402e-01
4.06780437e-10,1.61096288e-01,4.74630589e-01
4.06889147e-10,1.25238902e-01,4.82240257e-01
