TIME,V(OUT),V(IN)
0.00000000e+00,6.99998628e-01,0.00000000e+00
1.00000000e-36,6.99998628e-01,0.00000000e+00
3.00000000e-36,6.99998628e-01,0.00000000e+00
7.00000000e-36,6.99998628e-01,0.00000000e+00
1.50000000e-35,6.99998628e-01,0.00000000e+00
3.10000000e-35,6.99998628e-01,0.00000000e+00
6.30000000e-35,6.99998628e-01,0.00000000e+00
1.27000000e-34,6.99998628e-01,0.00000000e+00
2.55000000e-34,6.99998628e-01,0.00000000e+00
5.11000000e-34,6.99998628e-01,0.00000000e+00
1.02300000e-33,6.99998628e-01,0.00000000e+00
2.04700000e-33,6.99998628e-01,0.00000000e+00
4.09500000e-33,6.99998628e-01,0.00000000e+00
8.19100000e-33,6.99998628e-01,0.00000000e+00
1.63830000e-32,6.99998628e-01,0.00000000e+00
3.27670000e-32,6.99998628e-01,0.00000000e+00
6.55350000e-32,6.99998628e-01,0.00000000e+00
1.31071000e-31,6.99998628e-01,0.00000000e+00
2.62143000e-31,6.99998628e-01,0.00000000e+00
5.24287000e-31,6.99998628e-01,0.00000000e+00
1.04857500e-30,6.99998628e-01,0.00000000e+00
2.09715100e-30,6.99998628e-01,0.00000000e+00
4.19430300e-30,6.99998628e-01,0.00000000e+00
8.38860700e-30,6.99998628e-01,0.00000000e+00
1.67772150e-29,6.99998628e-01,0.00000000e+00
3.35544310e-29,6.99998628e-01,0.00000000e+00
6.71088630e-29,6.99998628e-01,0.00000000e+00
1.34217727e-28,6.99998628e-01,0.00000000e+00
2.68435455e-28,6.99998628e-01,0.00000000e+00
5.36870911e-28,6.99998628e-01,0.00000000e+00
1.07374182e-27,6.99998628e-01,0.00000000e+00
2.14748365e-27,6.99998628e-01,0.00000000e+00
4.29496730e-27,6.99998628e-01,0.00000000e+00
8.58993459e-27,6.99998628e-01,0.00000000e+00
1.71798692e-26,6.99998628e-01,0.00000000e+00
3.43597384e-26,6.99998628e-01,0.00000000e+00
6.87194767e-26,6.99998628e-01,0.00000000e+00
1.37438953e-25,6.99998628e-01,0.00000000e+00
2.74877907e-25,6.99998628e-01,0.00000000e+00
5.49755814e-25,6.99998628e-01,0.00000000e+00
1.09951163e-24,6.99998628e-01,0.00000000e+00
2.19902326e-24,6.99998628e-01,0.00000000e+00
4.39804651e-24,6.99998628e-01,0.00000000e+00
8.79609302e-24,6.99998628e-01,0.00000000e+00
1.75921860e-23,6.99998628e-01,0.00000000e+00
3.51843721e-23,6.99998628e-01,0.00000000e+00
7.03687442e-23,6.99998628e-01,0.00000000e+00
