TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99997158e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01204853e-01,7.00000000e-03,0.00000000e+00,0.00000000e+00
2.00000000e-13,7.02225051e-01,1.40000000e-02,0.00000000e+00,0.00000000e+00
3.00000000e-13,7.03234908e-01,2.10000000e-02,0.00000000e+00,0.00000000e+00
4.00000000e-13,7.04259757e-01,2.80000000e-02,0.00000000e+00,0.00000000e+00
5.00000000e-13,7.05284607e-01,3.50000000e-02,0.00000000e+00,0.00000000e+00
6.00000000e-13,7.06357622e-01,4.20000000e-02,0.00000000e+00,0.00000000e+00
7.00000000e-13,7.07436590e-01,4.90000000e-02,0.00000000e+00,0.00000000e+00
8.00000000e-13,7.08499137e-01,5.60000000e-02,0.00000000e+00,0.00000000e+00
9.00000000e-13,7.09528343e-01,6.30000000e-02,0.00000000e+00,0.00000000e+00
1.00000000e-12,7.10557549e-01,7.00000000e-02,0.00000000e+00,0.00000000e+00
1.10000000e-12,7.11586756e-01,7.70000000e-02,0.00000000e+00,0.00000000e+00
1.20000000e-12,7.12615962e-01,8.40000000e-02,0.00000000e+00,0.00000000e+00
1.30000000e-12,7.13618520e-01,9.10000000e-02,0.00000000e+00,0.00000000e+00
1.40000000e-12,7.14520829e-01,9.80000000e-02,0.00000000e+00,0.00000000e+00
1.50000000e-12,7.15423138e-01,1.05000000e-01,0.00000000e+00,0.00000000e+00
1.60000000e-12,7.16325447e-01,1.12000000e-01,0.00000000e+00,0.00000000e+00
1.70000000e-12,7.17227756e-01,1.19000000e-01,0.00000000e+00,0.00000000e+00
1.80000000e-12,7.18114442e-01,1.26000000e-01,0.00000000e+00,0.00000000e+00
1.90000000e-12,7.18843165e-01,1.33000000e-01,0.00000000e+00,0.00000000e+00
2.00000000e-12,7.19571888e-01,1.40000000e-01,0.00000000e+00,0.00000000e+00
2.10000000e-12,7.20300611e-01,1.47000000e-01,0.00000000e+00,0.00000000e+00
2.20000000e-12,7.21029334e-01,1.54000000e-01,0.00000000e+00,0.00000000e+00
2.30000000e-12,7.21758056e-01,1.61000000e-01,0.00000000e+00,0.00000000e+00
2.40000000e-12,7.22486779e-01,1.68000000e-01,0.00000000e+00,0.00000000e+00
2.50000000e-12,7.23215502e-01,1.75000000e-01,0.00000000e+00,0.00000000e+00
2.60000000e-12,7.23944225e-01,1.82000000e-01,0.00000000e+00,0.00000000e+00
2.70000000e-12,7.24672948e-01,1.89000000e-01,0.00000000e+00,0.00000000e+00
2.80000000e-12,7.25401670e-01,1.96000000e-01,0.00000000e+00,0.00000000e+00
2.90000000e-12,7.25857568e-01,2.03000000e-01,0.00000000e+00,0.00000000e+00
3.00000000e-12,7.26265320e-01,2.10000000e-01,0.00000000e+00,0.00000000e+00
3.10000000e-12,7.26673071e-01,2.17000000e-01,0.00000000e+00,0.00000000e+00
3.20000000e-12,7.27080823e-01,2.24000000e-01,0.00000000e+00,0.00000000e+00
3.30000000e-12,7.27488575e-01,2.31000000e-01,0.00000000e+00,0.00000000e+00
3.40000000e-12,7.27896327e-01,2.38000000e-01,0.00000000e+00,0.00000000e+00
3.50000000e-12,7.28304079e-01,2.45000000e-01,0.00000000e+00,0.00000000e+00
3.60000000e-12,7.28711831e-01,2.52000000e-01,0.00000000e+00,0.00000000e+00
3.70000000e-12,7.29119582e-01,2.59000000e-01,0.00000000e+00,0.00000000e+00
3.80000000e-12,7.29527334e-01,2.66000000e-01,0.00000000e+00,0.00000000e+00
3.90000000e-12,7.29219252e-01,2.73000000e-01,0.00000000e+00,0.00000000e+00
4.00000000e-12,7.28453506e-01,2.80000000e-01,0.00000000e+00,0.00000000e+00
4.10000000e-12,7.27687760e-01,2.87000000e-01,0.00000000e+00,0.00000000e+00
4.20000000e-12,7.26922014e-01,2.94000000e-01,0.00000000e+00,0.00000000e+00
4.30000000e-12,7.26156268e-01,3.01000000e-01,0.00000000e+00,0.00000000e+00
4.40000000e-12,7.25390522e-01,3.08000000e-01,0.00000000e+00,0.00000000e+00
4.50000000e-12,7.24624776e-01,3.15000000e-01,0.00000000e+00,0.00000000e+00
4.60000000e-12,7.23859030e-01,3.22000000e-01,0.00000000e+00,0.00000000e+00
4.70000000e-12,7.23093284e-01,3.29000000e-01,0.00000000e+00,0.00000000e+00
4.80000000e-12,7.22327538e-01,3.36000000e-01,0.00000000e+00,0.00000000e+00
4.90000000e-12,7.21054577e-01,3.43000000e-01,0.00000000e+00,0.00000000e+00
5.00000000e-12,7.18898032e-01,3.50000000e-01,0.00000000e+00,0.00000000e+00
5.10000000e-12,7.16574989e-01,3.57000000e-01,0.00000000e+00,0.00000000e+00
5.20000000e-12,7.13718551e-01,3.64000000e-01,0.00000000e+00,0.00000000e+00
5.30000000e-12,7.10763500e-01,3.71000000e-01,0.00000000e+00,0.00000000e+00
5.40000000e-12,7.07529326e-01,3.78000000e-01,0.00000000e+00,0.00000000e+00
5.50000000e-12,7.03696361e-01,3.85000000e-01,0.00000000e+00,0.00000000e+00
5.60000000e-12,6.99863396e-01,3.92000000e-01,0.00000000e+00,0.00000000e+00
5.70000000e-12,6.95302334e-01,3.99000000e-01,0.00000000e+00,0.00000000e+00
5.80000000e-12,6.90549947e-01,4.06000000e-01,0.00000000e+00,0.00000000e+00
5.90000000e-12,6.85542444e-01,4.13000000e-01,0.00000000e+00,0.00000000e+00
6.00000000e-12,6.79830528e-01,4.20000000e-01,0.00000000e+00,0.00000000e+00
6.10000000e-12,6.74118611e-01,4.27000000e-01,0.00000000e+00,0.00000000e+00
6.20000000e-12,6.67662694e-01,4.34000000e-01,0.00000000e+00,0.00000000e+00
6.30000000e-12,6.60945162e-01,4.41000000e-01,0.00000000e+00,0.00000000e+00
6.40000000e-12,6.53999954e-01,4.48000000e-01,0.00000000e+00,0.00000000e+00
6.50000000e-12,6.46217594e-01,4.55000000e-01,0.00000000e+00,0.00000000e+00
6.60000000e-12,6.38435233e-01,4.62000000e-01,0.00000000e+00,0.00000000e+00
6.70000000e-12,6.29867426e-01,4.69000000e-01,0.00000000e+00,0.00000000e+00
6.80000000e-12,6.20943069e-01,4.76000000e-01,0.00000000e+00,0.00000000e+00
6.90000000e-12,6.11818840e-01,4.83000000e-01,0.00000000e+00,0.00000000e+00
7.00000000e-12,6.01658814e-01,4.90000000e-01,0.00000000e+00,0.00000000e+00
7.10000000e-12,5.91498789e-01,4.97000000e-01,0.00000000e+00,0.00000000e+00
7.20000000e-12,5.80488000e-01,5.04000000e-01,0.00000000e+00,0.00000000e+00
7.30000000e-12,5.68989712e-01,5.11000000e-01,0.00000000e+00,0.00000000e+00
7.40000000e-12,5.57332598e-01,5.18000000e-01,0.00000000e+00,0.00000000e+00
7.50000000e-12,5.44386361e-01,5.25000000e-01,0.00000000e+00,0.00000000e+00
7.60000000e-12,5.31440124e-01,5.32000000e-01,0.00000000e+00,0.00000000e+00
7.70000000e-12,5.17572603e-01,5.39000000e-01,0.00000000e+00,0.00000000e+00
7.80000000e-12,5.03047908e-01,5.46000000e-01,0.00000000e+00,0.00000000e+00
7.90000000e-12,4.88422010e-01,5.53000000e-01,0.00000000e+00,0.00000000e+00
8.00000000e-12,4.72141230e-01,5.60000000e-01,0.00000000e+00,0.00000000e+00
8.10000000e-12,4.55860450e-01,5.67000000e-01,0.00000000e+00,0.00000000e+00
8.20000000e-12,4.38523155e-01,5.74000000e-01,0.00000000e+00,0.00000000e+00
8.30000000e-12,4.20254945e-01,5.81000000e-01,0.00000000e+00,0.00000000e+00
8.39944327e-12,4.02088440e-01,5.87961029e-01,0.00000000e+00,0.00000000e+00
8.50000000e-12,3.81513780e-01,5.95000000e-01,0.00000000e+00,0.00000000e+00
8.60000000e-12,3.61053032e-01,6.02000000e-01,0.00000000e+00,0.00000000e+00
8.70000000e-12,3.39621724e-01,6.09000000e-01,0.00000000e+00,0.00000000e+00
8.80000000e-12,3.17137021e-01,6.16000000e-01,0.00000000e+00,0.00000000e+00
8.90000000e-12,2.94652319e-01,6.23000000e-01,0.00000000e+00,0.00000000e+00
9.00000000e-12,2.71425401e-01,6.30000000e-01,0.00000000e+00,0.00000000e+00
9.10000000e-12,2.48162292e-01,6.37000000e-01,0.00000000e+00,0.00000000e+00
9.20000000e-12,2.25593636e-01,6.44000000e-01,0.00000000e+00,0.00000000e+00
9.30000000e-12,2.03955076e-01,6.51000000e-01,0.00000000e+00,0.00000000e+00
9.40000000e-12,1.82316517e-01,6.58000000e-01,0.00000000e+00,0.00000000e+00
9.50000000e-12,1.64073301e-01,6.65000000e-01,0.00000000e+00,0.00000000e+00
9.60000000e-12,1.46201303e-01,6.72000000e-01,0.00000000e+00,0.00000000e+00
9.70000000e-12,1.29947959e-01,6.79000000e-01,0.00000000e+00,0.00000000e+00
9.80000000e-12,1.16387625e-01,6.86000000e-01,0.00000000e+00,0.00000000e+00
9.90000000e-12,1.03124769e-01,6.93000000e-01,0.00000000e+00,0.00000000e+00
1.00000000e-11,9.24813047e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.01000000e-11,8.04464956e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.02000000e-11,7.06518437e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.03000000e-11,6.20846614e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.04000000e-11,5.52533469e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.05000000e-11,4.96366220e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.06000000e-11,4.49540930e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.07000000e-11,4.11783137e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.08000000e-11,3.74025343e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.09000000e-11,3.46537278e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.10000000e-11,3.25159214e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.11000000e-11,3.03781151e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.12000000e-11,2.82403088e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.13000000e-11,2.61025024e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.14000000e-11,2.40489717e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.15000000e-11,2.29518187e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.16000000e-11,2.18546658e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.17000000e-11,2.07575128e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.18000000e-11,1.96603598e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.19000000e-11,1.85632068e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.20000000e-11,1.76744332e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.21000000e-11,1.69667824e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.22000000e-11,1.62591317e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.23000000e-11,1.55514809e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.24000000e-11,1.48438302e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.25011006e-11,1.41283913e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.26000000e-11,1.36368480e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.27000000e-11,1.31398348e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.28000000e-11,1.26428216e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.29000000e-11,1.21458083e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.30000000e-11,1.16487951e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.31000000e-11,1.12106358e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.32000000e-11,1.08464755e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.33000000e-11,1.04823153e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.34000000e-11,1.01181550e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.35000000e-11,9.75399480e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.36000000e-11,9.38983455e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.37000000e-11,9.13115394e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.38000000e-11,8.88458454e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.39000000e-11,8.63801514e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.40000000e-11,8.39144574e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.41000000e-11,8.14487635e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.42000000e-11,7.89830695e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.43000000e-11,7.65173755e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.44000000e-11,7.40516815e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.45000000e-11,7.15859875e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.46000000e-11,6.91202935e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.47000000e-11,6.66545996e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.48000000e-11,6.51472939e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.49000000e-11,6.38721199e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.50000000e-11,6.25969460e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.51000000e-11,6.13217721e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.52000000e-11,6.00465981e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.53000000e-11,5.87714242e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.54000000e-11,5.74962502e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.55000000e-11,5.62210763e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.56000000e-11,5.49459023e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.57000000e-11,5.36707284e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.58000000e-11,5.23955545e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.59000000e-11,5.11203805e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.60000000e-11,4.98452066e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.61000000e-11,4.85700326e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.62000000e-11,4.72948587e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.63000000e-11,4.60196848e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.64000000e-11,4.47445108e-03,7.00000000e-01,0.00000000e+00,0.00000000e+00
