TIME,V(OUT),V(IN1),V(IN2),V(IN3),V(IN4)
0.00000000e+00,6.99978046e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01013086e-01,7.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-13,7.01875813e-01,1.40000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-13,7.02653131e-01,2.10000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-13,7.03368920e-01,2.80000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-13,7.04084708e-01,3.50000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-13,7.04776289e-01,4.20000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-13,7.05464877e-01,4.90000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-13,7.06158839e-01,5.60000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-13,7.06863710e-01,6.30000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-12,7.07568581e-01,7.00000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-12,7.08273452e-01,7.70000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-12,7.08978323e-01,8.40000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-12,7.09679049e-01,9.10000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-12,7.10364182e-01,9.80000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-12,7.11049316e-01,1.05000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-12,7.11734449e-01,1.12000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-12,7.12419582e-01,1.19000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-12,7.13092107e-01,1.26000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-12,7.13637150e-01,1.33000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-12,7.14182193e-01,1.40000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-12,7.14727236e-01,1.47000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-12,7.15272279e-01,1.54000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-12,7.15817321e-01,1.61000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-12,7.16362364e-01,1.68000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-12,7.16907407e-01,1.75000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-12,7.17452450e-01,1.82000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-12,7.17997493e-01,1.89000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-12,7.18542535e-01,1.96000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e-12,7.18517689e-01,2.03000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-12,7.18392274e-01,2.10000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-12,7.18266859e-01,2.17000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-12,7.18141444e-01,2.24000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.30000000e-12,7.18016029e-01,2.31000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e-12,7.17890613e-01,2.38000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-12,7.17765198e-01,2.45000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000000e-12,7.17639783e-01,2.52000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-12,7.17514368e-01,2.59000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-12,7.17388953e-01,2.66000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-12,7.16739475e-01,2.73000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-12,7.15712240e-01,2.80000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10382583e-12,7.14534954e-01,2.87267808e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-12,7.12934350e-01,2.94000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-12,7.11270074e-01,3.01000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-12,7.09367175e-01,3.08000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-12,7.06941698e-01,3.15000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.60000000e-12,7.04516222e-01,3.22000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-12,7.01545049e-01,3.29000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-12,6.98299254e-01,3.36000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.89830333e-12,6.95108529e-01,3.42881233e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-12,6.90932989e-01,3.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-12,6.86827112e-01,3.57000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-12,6.82395073e-01,3.64000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-12,6.77404592e-01,3.71000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-12,6.72414110e-01,3.78000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-12,6.66775297e-01,3.85000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.60000000e-12,6.60884917e-01,3.92000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.70000000e-12,6.54928725e-01,3.99000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.80000000e-12,6.48126723e-01,4.06000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.90000000e-12,6.41324722e-01,4.13000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-12,6.34130686e-01,4.20000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.10000000e-12,6.26403932e-01,4.27000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.20000000e-12,6.18677178e-01,4.34000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.30000000e-12,6.10218344e-01,4.41000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.40000000e-12,6.01547792e-01,4.48000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.50000000e-12,5.92753245e-01,4.55000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.60000000e-12,5.83109536e-01,4.62000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.70000000e-12,5.73465827e-01,4.69000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.80000000e-12,5.63334632e-01,4.76000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.90000000e-12,5.52673542e-01,4.83000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-12,5.42012452e-01,4.90000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.10000000e-12,5.30453261e-01,4.97000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.20000000e-12,5.18711294e-01,5.04000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.30000000e-12,5.06756314e-01,5.11000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.40000000e-12,4.93848059e-01,5.18000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-12,4.80939804e-01,5.25000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.60000000e-12,4.67352671e-01,5.32000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.70000000e-12,4.53174021e-01,5.39000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.80000000e-12,4.38995370e-01,5.46000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.90000000e-12,4.23602348e-01,5.53000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-12,4.08053268e-01,5.60000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.10000000e-12,3.92171326e-01,5.67000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.20000000e-12,3.75222884e-01,5.74000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.30000000e-12,3.58274442e-01,5.81000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.40000000e-12,3.40627738e-01,5.88000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.50000000e-12,3.22495016e-01,5.95000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.60000000e-12,3.04362293e-01,6.02000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.70000000e-12,2.85804820e-01,6.09000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.80000000e-12,2.67220884e-01,6.16000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.90000000e-12,2.48881754e-01,6.23000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-12,2.31133076e-01,6.30000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.10000000e-12,2.13384397e-01,6.37000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.20000000e-12,1.97022999e-01,6.44000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.30000000e-12,1.81425700e-01,6.51000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.40034251e-12,1.65774980e-01,6.58023975e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-12,1.52988379e-01,6.65000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.60000000e-12,1.40157832e-01,6.72000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.70000000e-12,1.29007237e-01,6.79000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.80000000e-12,1.18916593e-01,6.86000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.90000000e-12,1.09268291e-01,6.93000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-11,1.01103300e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.01000000e-11,9.14166473e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.02000000e-11,8.32419507e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.03000000e-11,7.59417059e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.04000000e-11,6.98753317e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.05000000e-11,6.47612199e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.06000000e-11,6.02641950e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.07000000e-11,5.63344140e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.08000000e-11,5.32814909e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.09000000e-11,5.02285677e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-11,4.75144434e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.11000000e-11,4.55478957e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.12000000e-11,4.35813480e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.13000000e-11,4.16148004e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.14000000e-11,3.96482527e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.15000000e-11,3.76817050e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.16000000e-11,3.63328336e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.17000000e-11,3.51252895e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.18000000e-11,3.39177453e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.19000000e-11,3.27102011e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-11,3.15026569e-02,7.00000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
