TIME,V(OUT),V(IN)
1.67998103e-10,1.14104915e+00,9.00000000e-01
1.68560392e-10,1.04999226e+00,9.00000000e-01
1.69122681e-10,9.49519215e-01,9.00000000e-01
1.69684970e-10,8.41883903e-01,9.00000000e-01
1.70247259e-10,7.30551440e-01,9.00000000e-01
1.71371838e-10,5.09440826e-01,9.00000000e-01
1.72383958e-10,3.21660236e-01,9.00000000e-01
1.72539404e-10,2.94784727e-01,9.00000000e-01
1.72694851e-10,2.68308692e-01,9.00000000e-01
1.73005744e-10,2.18471039e-01,9.00000000e-01
1.73316637e-10,1.74256726e-01,9.00000000e-01
1.73627530e-10,1.37316441e-01,9.00000000e-01
1.73938422e-10,1.08160971e-01,9.00000000e-01
1.74249315e-10,8.60989381e-02,9.00000000e-01
1.74560208e-10,6.98081841e-02,9.00000000e-01
1.74871101e-10,5.78651314e-02,9.00000000e-01
1.75181994e-10,4.90410408e-02,9.00000000e-01
1.75803780e-10,3.70833320e-02,9.00000000e-01
1.77047352e-10,2.41674944e-02,9.00000000e-01
1.79534495e-10,1.23875251e-02,9.00000000e-01
1.81772924e-10,7.10316863e-03,9.00000000e-01
1.86249782e-10,2.19065309e-03,9.00000000e-01
1.90726640e-10,7.71216809e-04,9.00000000e-01
1.99680357e-10,2.98415414e-05,9.00000000e-01
2.08634073e-10,4.19363656e-05,9.00000000e-01
2.10000000e-10,6.08440888e-06,9.00000000e-01
2.10062500e-10,-2.39643356e-03,8.94375000e-01
2.10125000e-10,-4.55703302e-03,8.88750000e-01
2.10250000e-10,-8.46192015e-03,8.77500000e-01
2.10500000e-10,-1.43344475e-02,8.55000000e-01
2.10750000e-10,-1.84141409e-02,8.32500000e-01
2.11250000e-10,-2.39816754e-02,7.87500000e-01
2.11750000e-10,-2.81276301e-02,7.42500000e-01
2.12750000e-10,-3.82714141e-02,6.52500000e-01
2.13750000e-10,-5.42758960e-02,5.62500000e-01
2.14750000e-10,-7.09213497e-02,4.72500000e-01
2.14888287e-10,-7.22838552e-02,4.60054209e-01
2.15164860e-10,-7.35852130e-02,4.35162627e-01
2.15718006e-10,-6.42651280e-02,3.85379462e-01
